,mouse,day,session,filepath
178,3,10,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D10_2021-08-23_11-08-56
179,3,10,VR,Teris/FragileX/cohort_202108/data/VR/M3_D10_2021-08-23_10-28-17
180,3,11,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D11_2021-08-24_09-54-29
181,3,11,VR,Teris/FragileX/cohort_202108/data/VR/M3_D11_2021-08-24_09-10-11
182,3,12,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D12_2021-08-25_10-36-07
183,3,12,VR,Teris/FragileX/cohort_202108/data/VR/M3_D12_2021-08-25_09-51-45
184,3,13,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D13_2021-08-26_11-21-36
185,3,13,VR,Teris/FragileX/cohort_202108/data/VR/M3_D13_2021-08-26_10-43-21
186,3,14,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D14_2021-08-27_11-32-16
187,3,14,VR,Teris/FragileX/cohort_202108/data/VR/M3_D14_2021-08-27_10-48-44
188,3,15,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D15_2021-08-31_11-10-48
189,3,15,VR,Teris/FragileX/cohort_202108/data/VR/M3_D15_2021-08-31_10-30-43
190,3,16,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D16_2021-09-01_10-56-03
191,3,16,VR,Teris/FragileX/cohort_202108/data/VR/M3_D16_2021-09-01_10-18-12
192,3,17,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D17_2021-09-02_11-45-53
193,3,17,VR,Teris/FragileX/cohort_202108/data/VR/M3_D17_2021-09-02_11-02-56
194,3,18,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D18_2021-09-03_11-57-39
195,3,18,VR,Teris/FragileX/cohort_202108/data/VR/M3_D18_2021-09-03_11-15-22
196,3,19,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D19_2021-09-06_10-51-58
197,3,19,VR,Teris/FragileX/cohort_202108/data/VR/M3_D19_2021-09-06_10-08-00
198,3,20,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D20_2021-09-07_11-29-06
199,3,20,VR,Teris/FragileX/cohort_202108/data/VR/M3_D20_2021-09-07_10-44-12
200,3,21,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D21_2021-09-08_11-18-01
201,3,21,VR,Teris/FragileX/cohort_202108/data/VR/M3_D21_2021-09-08_10-30-08
202,3,22,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D22_2021-09-09_11-24-48
203,3,22,VR,Teris/FragileX/cohort_202108/data/VR/M3_D22_2021-09-09_10-39-00
204,3,23,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D23_2021-09-10_11-36-34
205,3,23,VR,Teris/FragileX/cohort_202108/data/VR/M3_D23_2021-09-10_10-51-26
206,3,24,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D24_2021-09-13_11-29-51
207,3,24,VR,Teris/FragileX/cohort_202108/data/VR/M3_D24_2021-09-13_10-48-13
208,3,25,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D25_2021-09-14_11-35-21
209,3,25,VR,Teris/FragileX/cohort_202108/data/VR/M3_D25_2021-09-14_10-47-52
210,3,26,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D26_2021-09-15_11-21-45
211,3,26,VR,Teris/FragileX/cohort_202108/data/VR/M3_D26_2021-09-15_10-45-18
212,3,27,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D27_2021-09-16_12-59-00
213,3,27,VR,Teris/FragileX/cohort_202108/data/VR/M3_D27_2021-09-16_12-21-57
214,3,28,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D28_2021-09-17_11-26-17
215,3,28,VR,Teris/FragileX/cohort_202108/data/VR/M3_D28_2021-09-17_10-39-37
216,3,29,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D29_2021-09-20_11-59-21
217,3,29,VR,Teris/FragileX/cohort_202108/data/VR/M3_D29_2021-09-20_10-56-09
218,3,30,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D30_2021-09-21_12-04-29
219,3,30,VR,Teris/FragileX/cohort_202108/data/VR/M3_D30_2021-09-21_11-14-14
220,3,31,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D31_2021-09-22_11-49-30
221,3,31,VR,Teris/FragileX/cohort_202108/data/VR/M3_D31_2021-09-22_10-53-18
222,3,32,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D32_2021-09-23_12-05-02
223,3,32,VR,Teris/FragileX/cohort_202108/data/VR/M3_D32_2021-09-23_11-27-25
224,3,33,VR,Teris/FragileX/cohort_202108/data/VR/M3_D33_2021-10-06_13-30-15
225,3,34,VR,Teris/FragileX/cohort_202108/data/VR/M3_D34_2021-10-07_11-07-20
226,3,35,VR,Teris/FragileX/cohort_202108/data/VR/M3_D35_2021-10-08_12-04-36
227,3,36,VR,Teris/FragileX/cohort_202108/data/VR/M3_D36_2021-10-11_12-36-06
228,3,37,VR,Teris/FragileX/cohort_202108/data/VR/M3_D37_2021-10-12_11-23-46
229,3,38,VR,Teris/FragileX/cohort_202108/data/VR/M3_D38_2021-10-14_12-35-14
230,3,39,VR,Teris/FragileX/cohort_202108/data/VR/M3_D39_2021-10-15_11-54-18
231,3,40,VR,Teris/FragileX/cohort_202108/data/VR/M3_D40_2021-10-16_11-56-43
232,4,1,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D1_2021-08-09_12-15-29
