,mouse,date,session,filepath
339,1544,2023-05-10,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-10_12-49-09_opto2
340,1544,2023-05-12,of,Bri/optetrode_recordings/chR2/1544/1544_2023-05-12_10-26-57_of
341,1544,2023-05-12,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-05-12_10-52-04_obj
342,1544,2023-05-12,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-12_11-23-57_of2
343,1544,2023-05-12,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-05-12_11-56-52_opto
344,1544,2023-05-12,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-12_12-16-22_opto2
345,1546,2023-01-25,of,Bri/optetrode_recordings/chR2/1546/1546_2023-01-25_10-52-17_of
346,1546,2023-01-25,opto1,Bri/optetrode_recordings/chR2/1546/1546_2023-01-25_11-27-57_opto1
347,1546,2023-01-25,opto2,Bri/optetrode_recordings/chR2/1546/1546_2023-01-25_11-36-45_opto2
348,1546,2023-02-08,of,Bri/optetrode_recordings/chR2/1546/1546_2023-02-08_11-47-51_of
349,1546,2023-02-08,opto1,Bri/optetrode_recordings/chR2/1546/1546_2023-02-08_12-16-13_opto1
